GitHub URL,Name/Repo,About,Where it Fits,Connectors,Languages
https://github.com/kafonek/kernel-sidecar-rs,kafonek/kernel-sidecar-rs,,Core library/Runtime,,Rust
https://github.com/kata-containers/kata-containers,kata-containers/kata-containers,,,,Rust
https://github.com/kestra-io/kestra,kestra-io/kestra,"Kestra is an open-source, event-driven orchestration platform that makes both scheduled and event-driven workflows easy. By bringing Infrastructure as Code best practices to data, process, and microservice orchestration, you can build reliable workflows directly from the UI in just a few lines of YAML.",,,
https://github.com/klange/toaruos,klange/toaruos,,,,
https://github.com/lakesoul-io/LakeSoul,lakesoul-io/LakeSoul,,,,
https://github.com/langgenius/dify,langgenius/dify,"Dify is an open-source platform for developing LLM applications. Its intuitive interface combines agentic AI workflows, RAG pipelines, agent capabilities, model management, observability features, and more—allowing you to quickly move from prototype to production.",,,
https://github.com/lawglance/lawglance,lawglance/lawglance,,,,
https://github.com/learning-at-home/hivemind,learning-at-home/hivemind,,,,
https://github.com/leon-ai/leon,leon-ai/leon,,,,
https://github.com/letta-ai/letta,letta-ai/letta,,,,
https://github.com/littlevan333/Orion-Transmission,littlevan333/Orion-Transmission,,,,
https://github.com/lobehub/lobe-chat,lobehub/lobe-chat,"Lobe Chat - an open-source, modern design AI chat framework. Supports multiple AI providers (OpenAI / Claude 4 / Gemini / DeepSeek / Ollama / Qwen), Knowledge Base (file upload / RAG ), one click install MCP Marketplace and Artifacts / Thinking. One-click FREE deployment of your private AI Agent application.",,,
https://github.com/lowcoder-org/lowcoder,lowcoder-org/lowcoder,"The Open Source Retool, Tooljet and Appsmith Alternative",,,
https://github.com/mem0ai/mem0,mem0ai/mem0,,,,
https://github.com/memodb-io/memobase,memodb-io/memobase,"Profile-Based Long-Term Memory for AI Applications. Memobase handles user profiles, memory events, and evolving context — perfect for chatbots, companions, tutors, customer service bots, and all chat-based agents.",,,
https://github.com/memospot/memospot,memospot/memospot,,,,
https://github.com/mendableai/open-lovable,mendableai/open-lovable,,,,
https://github.com/MervinPraison/PraisonAI,MervinPraison/PraisonAI,"production-ready Multi AI Agents framework, designed to create AI Agents to automate and solve problems ranging from simple tasks to complex challenges. It provides a low-code solution to streamline the building and management of multi-agent LLM systems, emphasising simplicity, customisation, and effective human-agent collaboration",,,
https://github.com/microsoft/autogen,microsoft/autogen,,Agent framework/agent ops,,
https://github.com/mindverse/Second-Me,mindverse/Second-Me," locally trained and hosted—your data, your control—yet globally connected, scaling your intelligence across an AI network. Beyond that, it’s your AI identity interface—a bold standard linking your AI to the world, sparks collaboration among AI selves, and builds tomorrow’s truly native AI apps",,,
